size,loss,SNDR TP (Mbps),SDNR TT (ms),RCVR TP (Mbps),RCVR TT (ms)
1GiB,0%,197.5293,43506.47,174.944,49136.61
1GiB,0.50%,96.43775714,89097.95714,89.98487143,95465.34286
1GiB,1%,89.83828333,95677.08333,85.56913333,100456.7667
1GiB,5%,51.6747875,147989.125,50.0785125,172051.125
1GiB,10%,40.78961667,211343.6667,39.90858333,215938.5
500MiB,0%,196.5398,21360.04,156.7812,26768.5
500MiB,0.50%,96.12454,43640.87,85.23723,49214.17
500MiB,1%,88.716775,47640.55,79.5384,53064.725
500MiB,5%,55.02496,76292.3,51.42126,81634.28
500MiB,10%,41.93917,100634.36,39.83552,105895.1
100MiB,0%,180.1992,4657.354,86.01756,9752.965
100MiB,0.50%,91.47523,9175.806,58.80313333,14269.56667
100MiB,1%,86.60635,9772.56,56.52326667,14908
100MiB,5%,59.0425,14307.5,43.5689,19333.04444
100MiB,10%,48.39398,17420.99,37.81794,22240.11
10MiB,0%,113.8665,736.739,14.51002,5783.263
10MiB,0.50%,68.04677,1233.368,13.44028889,6241.541111
10MiB,1%,66.09944,1269.302,13.25071,6334.917
10MiB,5%,52.88004,1588.702,12.71285556,6599.121111
10MiB,10%,44.13445556,1904.16,12.12986667,6916.437778
1MiB,0%,22.26723333,377.0253333,2.685561667,3162.69
1MiB,0.50%,16.94605714,495.7054286,2.341405714,3818.171429
1MiB,1%,16.27095,517.066375,3.00151,2812.3775
1MiB,5%,13.93815,605.47725,2.86698875,2994.94625
1MiB,10%,11.8356,712.5223,2.591271,3285.544
